ParticipantId,Condition,Question #,TrialName,Graph Face Viewed
RS1080,VR,1,LineChartQ1,Front
RS1080,VR,1,LineChartQ1,Front
RS1080,VR,1,LineChartQ1,Front
RS1080,VR,1,LineChartQ1,Front
RS1080,VR,1,LineChartQ1,Front
RS1080,VR,1,LineChartQ1,Front
RS1080,VR,1,LineChartQ1,Front
RS1080,VR,1,LineChartQ1,Front
RS1080,VR,1,LineChartQ1,Front
RS1080,VR,1,LineChartQ1,Front
RS1080,VR,1,LineChartQ1,Front
RS1080,VR,1,LineChartQ1,Front
RS1080,VR,1,LineChartQ1,Front
RS1080,VR,1,LineChartQ1,Front
RS1080,VR,1,LineChartQ1,Front
RS1080,VR,1,LineChartQ1,Front
RS1080,VR,1,LineChartQ1,Front
RS1080,VR,1,LineChartQ1,Front
RS1080,VR,1,LineChartQ1,Front
RS1080,VR,1,LineChartQ1,Front
RS1080,VR,1,LineChartQ1,Front
RS1080,VR,1,LineChartQ1,Front
RS1080,VR,1,LineChartQ1,Front
RS1080,VR,1,LineChartQ1,Front
RS1080,VR,1,LineChartQ1,Front
RS1080,VR,1,LineChartQ1,Front
RS1080,VR,1,LineChartQ1,Front
RS1080,VR,1,LineChartQ1,Front
RS1080,VR,1,LineChartQ1,Front
RS1080,VR,1,LineChartQ1,Front
RS1080,VR,1,LineChartQ1,Front
RS1080,VR,1,LineChartQ1,Front
RS1080,VR,2,LineChartQ2,Front
RS1080,VR,2,LineChartQ2,Front
RS1080,VR,2,LineChartQ2,Front
RS1080,VR,2,LineChartQ2,Front
RS1080,VR,2,LineChartQ2,Front
RS1080,VR,2,LineChartQ2,Front
RS1080,VR,2,LineChartQ2,Front
RS1080,VR,2,LineChartQ2,Right
RS1080,VR,2,LineChartQ2,Right
RS1080,VR,2,LineChartQ2,Right
RS1080,VR,2,LineChartQ2,Front
RS1080,VR,2,LineChartQ2,Front
RS1080,VR,2,LineChartQ2,Front
RS1080,VR,2,LineChartQ2,Front
RS1080,VR,2,LineChartQ2,Front
RS1080,VR,2,LineChartQ2,Front
RS1080,VR,2,LineChartQ2,Front
RS1080,VR,2,LineChartQ2,Front
RS1080,VR,2,LineChartQ2,Front
