ParticipantId,Condition,TrialName,State,Time (ms),X,Y,Z,Pitch,Yaw,Roll,RotateUp,RotateRight,RotateLeft,RotateDown,ZoomIn,ZoomOut,Reset,BackButton
RS1080,VR,LineChartQ1,WaitingToReadyUp,0,0.1122912,1.137029,-0.965923,356.231,27.26825,4.346488,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,WaitingToReadyUp,100,0.1124666,1.136828,-0.9656018,356.3554,27.30578,4.326816,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,WaitingToReadyUp,200,0.1128617,1.136812,-0.9656203,356.3349,27.34302,4.260438,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,WaitingToReadyUp,300,0.1130495,1.136728,-0.9659148,356.3541,27.35826,4.259978,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,WaitingToReadyUp,400,0.1133333,1.136822,-0.9663211,356.3292,27.44077,4.143305,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,WaitingToReadyUp,500,0.1132051,1.137032,-0.9661624,356.3116,27.43497,4.174048,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,WaitingToReadyUp,600,0.1133328,1.137096,-0.9663805,356.2958,27.49854,4.143816,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,WaitingToReadyUp,700,0.1131198,1.13698,-0.9670118,356.463,27.51861,4.031976,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,WaitingToReadyUp,800,0.1130074,1.136704,-0.968353,356.5896,27.44773,3.578225,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,WaitingToReadyUp,900,0.112998,1.136085,-0.969816,357.2363,27.02628,2.853519,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,WaitingToReadyUp,1000,0.1122486,1.133559,-0.9700108,359.0458,25.06231,1.922036,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,WaitingToReadyUp,1100,0.1116464,1.131884,-0.9690548,0.1638525,23.3985,1.1268,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,WaitingToReadyUp,1200,0.112577,1.131644,-0.9679189,0.2418634,23.44643,0.8757927,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,WaitingToReadyUp,1300,0.1137398,1.130921,-0.9668461,0.560244,24.23993,0.3088715,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,WaitingToReadyUp,1400,0.114245,1.130065,-0.9666009,1.06127,25.48165,0.3734029,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,WaitingToReadyUp,1500,0.1143735,1.129652,-0.9660316,1.266676,26.34273,1.427583,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,WaitingToReadyUp,1600,0.1149376,1.129728,-0.9654164,1.198693,26.36274,1.667046,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,WaitingToReadyUp,1700,0.1159318,1.129493,-0.9650677,1.406069,26.29339,1.016613,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,WaitingToReadyUp,1800,0.1167201,1.129079,-0.9651564,1.581864,27.09369,1.247316,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,WaitingToReadyUp,1900,0.1169567,1.129201,-0.9654323,1.484375,27.64278,1.597414,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,WaitingToReadyUp,2000,0.1171884,1.129397,-0.9653901,1.474909,27.54125,1.463265,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,WaitingToReadyUp,2100,0.1174051,1.129218,-0.9652895,1.533736,27.61566,1.324308,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,WaitingToReadyUp,2200,0.1167894,1.129415,-0.96538,1.489645,27.67596,1.532215,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,WaitingToReadyUp,2300,0.1164451,1.129463,-0.9655172,1.400986,27.63863,1.607385,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,WaitingToReadyUp,2400,0.1166425,1.129575,-0.9655564,1.388923,27.66725,1.536171,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,WaitingToReadyUp,2500,0.1168575,1.129764,-0.965813,1.35712,27.77765,1.496137,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,WaitingToReadyUp,2600,0.1170612,1.129762,-0.9660353,1.261387,27.82384,1.556262,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,WaitingToReadyUp,2700,0.1168831,1.13015,-0.9665306,1.033877,27.91527,1.576703,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,WaitingToReadyUp,2800,0.1172705,1.131879,-0.9670293,359.8843,28.28028,1.440862,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,WaitingToReadyUp,2900,0.1171347,1.138487,-0.97074,354.6555,29.91327,2.194135,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,WaitingToReadyUp,3000,0.1158005,1.141537,-0.9759169,352.5005,30.83531,2.397577,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,ReadingQuestion,3100,0.1146047,1.141582,-0.9785122,352.938,30.40188,1.88685,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,ReadingQuestion,3200,0.1135393,1.141852,-0.9794804,352.6422,30.06194,1.77822,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,ReadingQuestion,3300,0.1126131,1.141946,-0.979088,352.4852,29.93231,1.88128,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,ReadingQuestion,3400,0.1112059,1.141783,-0.9774491,352.5196,29.74579,2.330845,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,ReadingQuestion,3500,0.1102204,1.141276,-0.9762517,352.7101,29.6286,3.028937,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,ReadingQuestion,3600,0.1102487,1.141226,-0.9758403,352.6646,29.77414,3.209633,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,ReadingQuestion,3700,0.1105825,1.141083,-0.975855,352.66,30.1867,3.201294,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,ReadingQuestion,3800,0.1103849,1.141272,-0.9755378,352.631,30.48424,3.267506,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,ReadingQuestion,3900,0.1096136,1.14067,-0.9749454,352.8122,30.5624,3.459937,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,ReadingQuestion,4000,0.1093777,1.141036,-0.9748943,352.6157,30.66189,3.684568,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,ReadingQuestion,4100,0.1096218,1.140815,-0.9743651,352.716,30.62326,3.723048,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,ReadingQuestion,4200,0.1099445,1.140466,-0.9744081,352.8405,30.75362,3.714376,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,ReadingQuestion,4300,0.1094971,1.140141,-0.9743389,352.8973,30.85878,3.680011,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,ReadingQuestion,4400,0.1090428,1.140069,-0.9740485,352.8792,30.86295,3.82413,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,ReadingQuestion,4500,0.1086557,1.139881,-0.9741695,352.8324,30.98739,3.700666,0,0,0,0,0,0,0,0
RS1080,VR,LineChartQ1,ReadingQuestion,4600,0.108395,1.139992,-0.9742651,352.7822,31.10607,3.707028,0,0,0,0,0,0,0,0
