ParticipantId,Condition,TrialName,State,Time (ms),X,Y,Z,Pitch,Yaw,Roll,RotateUp,RotateRight,RotateLeft,RotateDown,ZoomIn,ZoomOut,Reset,BackButton
SC0288,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,0,0.1247013,1.158859,-1.066854,1.64033,16.44061,0.3619845,0,0,0,0,0,0,0,0
SC0288,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,100,0.1247447,1.158755,-1.067186,1.724621,16.34574,0.2313289,0,0,0,0,0,0,0,0
SC0288,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,200,0.1247955,1.158962,-1.06757,1.665702,16.37583,0.2812092,0,0,0,0,0,0,0,0
SC0288,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,300,0.1248212,1.158998,-1.068056,1.656769,16.32515,0.2471793,0,0,0,0,0,0,0,0
SC0288,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,400,0.1251232,1.158758,-1.068271,1.681077,16.46065,0.1980283,0,0,0,0,0,0,0,0
SC0288,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,500,0.1253126,1.158291,-1.068229,1.911433,16.72281,0.2540323,0,0,0,0,0,0,0,0
SC0288,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,600,0.125396,1.158354,-1.068126,1.947178,16.87912,0.2779413,0,0,0,0,0,0,0,0
SC0288,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,700,0.1254756,1.158231,-1.068423,2.045203,17.12254,0.31873,0,0,0,0,0,0,0,0
SC0288,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,800,0.1260636,1.157925,-1.068278,2.158457,17.64773,0.3270878,0,0,0,0,0,0,0,0
SC0288,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,900,0.1269,1.157514,-1.068304,2.35144,18.38035,0.3897951,0,0,0,0,0,0,0,0
SC0288,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,1000,0.1274388,1.15754,-1.068182,2.359773,18.67012,0.4773171,0,0,0,0,0,0,0,0
SC0288,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,1100,0.1282358,1.157859,-1.068048,2.123578,19.09769,0.4178866,0,0,0,0,0,0,0,0
SC0288,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,1200,0.1284766,1.158081,-1.068116,1.928607,19.49118,0.3908082,0,0,0,0,0,0,0,0
SC0288,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,1300,0.1286004,1.158211,-1.06791,1.845024,19.44226,0.3866994,0,0,0,0,0,0,0,0
SC0288,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,1400,0.1284675,1.158321,-1.068047,1.767386,19.41772,0.4183331,0,0,0,0,0,0,0,0
SC0288,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,1500,0.1288567,1.158304,-1.068211,1.780289,19.45719,0.3169489,0,0,0,0,0,0,0,0
SC0288,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,1600,0.1290524,1.158065,-1.067908,1.963154,19.45061,0.3479633,0,0,0,0,0,0,0,0
SC0288,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,1700,0.1294226,1.15808,-1.067604,1.887576,19.43566,0.4133596,0,0,0,0,0,0,0,0
SC0288,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,1800,0.1292544,1.158104,-1.067172,1.980135,19.40463,0.3794569,0,0,0,0,0,0,0,0
SC0288,VR Monitor Stereo,SurfacePlotQ1,ReadingQuestion,1900,0.1290888,1.157816,-1.067147,2.150191,19.26169,0.4332893,0,0,0,0,0,0,0,0
SC0288,VR Monitor Stereo,SurfacePlotQ1,ReadingQuestion,2000,0.1289241,1.157876,-1.067249,2.123955,19.14261,0.5071861,0,0,0,0,0,0,0,0
SC0288,VR Monitor Stereo,SurfacePlotQ1,ReadingQuestion,2100,0.1287584,1.158123,-1.067509,2.013234,19.1145,0.5466155,0,0,0,0,0,0,0,0
SC0288,VR Monitor Stereo,SurfacePlotQ1,ReadingQuestion,2200,0.1286198,1.158164,-1.067706,1.979816,19.07907,0.5506754,0,0,0,0,0,0,0,0
SC0288,VR Monitor Stereo,SurfacePlotQ1,ReadingQuestion,2300,0.1287915,1.157894,-1.067772,2.085831,19.14837,0.5654961,0,0,0,0,0,0,0,0
SC0288,VR Monitor Stereo,SurfacePlotQ1,ReadingQuestion,2400,0.1288341,1.157973,-1.068066,2.079907,19.15071,0.6241128,0,0,0,0,0,0,0,0
SC0288,VR Monitor Stereo,SurfacePlotQ1,ReadingQuestion,2500,0.1292339,1.158101,-1.068305,2.018041,19.29933,0.5713212,0,0,0,0,0,0,0,0
SC0288,VR Monitor Stereo,SurfacePlotQ1,ReadingQuestion,2600,0.1300552,1.158174,-1.068442,1.948009,19.6921,0.5918434,0,0,0,0,0,0,0,0
