ParticipantId,Condition,TrialName,State,Time (ms),X,Y,Z,Pitch,Yaw,Roll,RotateUp,RotateRight,RotateLeft,RotateDown,ZoomIn,ZoomOut,Reset,BackButton
UA7716,VR Monitor Stereo,LineChartQ1,WaitingToReadyUp,0,0.03754632,1.102638,-1.043724,339.5533,16.18744,0.3600209,0,0,0,0,0,0,0,0
UA7716,VR Monitor Stereo,LineChartQ1,WaitingToReadyUp,100,0.03756608,1.102549,-1.043848,339.5691,16.20204,0.2968594,0,0,0,0,0,0,0,0
UA7716,VR Monitor Stereo,LineChartQ1,WaitingToReadyUp,200,0.03781878,1.10257,-1.043727,339.5952,16.25499,0.3064981,0,0,0,0,0,0,0,0
UA7716,VR Monitor Stereo,LineChartQ1,WaitingToReadyUp,300,0.03791592,1.102637,-1.043926,339.5619,16.2354,0.2700883,0,0,0,0,0,0,0,0
UA7716,VR Monitor Stereo,LineChartQ1,WaitingToReadyUp,400,0.03788101,1.102458,-1.04399,339.6116,16.20813,0.2429883,0,0,0,0,0,0,0,0
UA7716,VR Monitor Stereo,LineChartQ1,WaitingToReadyUp,500,0.0379161,1.102399,-1.044057,339.7155,16.31663,0.1982441,0,0,0,0,0,0,0,0
UA7716,VR Monitor Stereo,LineChartQ1,WaitingToReadyUp,600,0.03806239,1.101326,-1.043643,340.6073,16.37351,359.9854,0,0,0,0,0,0,0,0
UA7716,VR Monitor Stereo,LineChartQ1,WaitingToReadyUp,700,0.0384111,1.100251,-1.04299,341.4872,16.35746,359.8905,0,0,0,0,0,0,0,0
UA7716,VR Monitor Stereo,LineChartQ1,WaitingToReadyUp,800,0.03846612,1.099854,-1.042436,341.971,16.31685,359.8719,0,0,0,0,0,0,0,0
UA7716,VR Monitor Stereo,LineChartQ1,WaitingToReadyUp,900,0.03856338,1.099878,-1.042521,342.1156,16.26333,359.7849,0,0,0,0,0,0,0,0
UA7716,VR Monitor Stereo,LineChartQ1,WaitingToReadyUp,1000,0.03888622,1.099699,-1.042378,342.2058,16.34546,359.6541,0,0,0,0,0,0,0,0
UA7716,VR Monitor Stereo,LineChartQ1,WaitingToReadyUp,1100,0.03936697,1.099648,-1.042426,342.2791,16.41989,359.5974,0,0,0,0,0,0,0,0
UA7716,VR Monitor Stereo,LineChartQ1,WaitingToReadyUp,1200,0.03950129,1.099848,-1.042439,342.1805,16.45375,359.6119,0,0,0,0,0,0,0,0
UA7716,VR Monitor Stereo,LineChartQ1,WaitingToReadyUp,1300,0.03948808,1.099963,-1.042293,342.1114,16.48815,359.7112,0,0,0,0,0,0,0,0
UA7716,VR Monitor Stereo,LineChartQ1,WaitingToReadyUp,1400,0.03977635,1.099986,-1.042095,342.1914,16.465,359.6653,0,0,0,0,0,0,0,0
UA7716,VR Monitor Stereo,LineChartQ1,WaitingToReadyUp,1500,0.04007404,1.099684,-1.04192,342.2255,16.5619,359.7025,0,0,0,0,0,0,0,0
UA7716,VR Monitor Stereo,LineChartQ1,WaitingToReadyUp,1600,0.04011626,1.099658,-1.041957,342.21,16.5204,359.6715,0,0,0,0,0,0,0,0
UA7716,VR Monitor Stereo,LineChartQ1,WaitingToReadyUp,1700,0.03992254,1.099789,-1.042115,342.1599,16.5217,359.6412,0,0,0,0,0,0,0,0
UA7716,VR Monitor Stereo,LineChartQ1,WaitingToReadyUp,1800,0.03968764,1.099821,-1.042038,342.0515,16.51433,359.6299,0,0,0,0,0,0,0,0
UA7716,VR Monitor Stereo,LineChartQ1,WaitingToReadyUp,1900,0.03941488,1.099983,-1.042442,342.0026,16.50411,359.6081,0,0,0,0,0,0,0,0
UA7716,VR Monitor Stereo,LineChartQ1,WaitingToReadyUp,2000,0.03963899,1.099967,-1.042719,341.9671,16.54749,359.5636,0,0,0,0,0,0,0,0
UA7716,VR Monitor Stereo,LineChartQ1,WaitingToReadyUp,2100,0.03970715,1.100217,-1.042948,341.8344,16.5305,359.5263,0,0,0,0,0,0,0,0
UA7716,VR Monitor Stereo,LineChartQ1,WaitingToReadyUp,2200,0.03977742,1.100103,-1.042904,341.8233,16.53085,359.51,0,0,0,0,0,0,0,0
UA7716,VR Monitor Stereo,LineChartQ1,WaitingToReadyUp,2300,0.03990436,1.099968,-1.043015,341.8261,16.5182,359.5315,0,0,0,0,0,0,0,0
UA7716,VR Monitor Stereo,LineChartQ1,WaitingToReadyUp,2400,0.03992899,1.100128,-1.042948,341.7923,16.48517,359.519,0,0,0,0,0,0,0,0
UA7716,VR Monitor Stereo,LineChartQ1,WaitingToReadyUp,2500,0.03950102,1.10124,-1.043008,340.9344,16.02542,359.6456,0,0,0,0,0,0,0,0
UA7716,VR Monitor Stereo,LineChartQ1,WaitingToReadyUp,2600,0.03800616,1.102112,-1.043625,340.0244,14.83581,359.6833,0,0,0,0,0,0,0,0
UA7716,VR Monitor Stereo,LineChartQ1,WaitingToReadyUp,2700,0.03691777,1.102491,-1.04483,339.943,14.34081,359.7878,0,0,0,0,0,0,0,0
UA7716,VR Monitor Stereo,LineChartQ1,WaitingToReadyUp,2800,0.03664944,1.102302,-1.045361,339.9717,14.29054,359.8701,0,0,0,0,0,0,0,0
UA7716,VR Monitor Stereo,LineChartQ1,WaitingToReadyUp,2900,0.03664649,1.102062,-1.045252,340.1476,14.30966,359.8129,0,0,0,0,0,0,0,0
UA7716,VR Monitor Stereo,LineChartQ1,WaitingToReadyUp,3000,0.03698052,1.101347,-1.044141,340.8393,14.30898,359.8417,0,0,0,0,0,0,0,0
UA7716,VR Monitor Stereo,LineChartQ1,WaitingToReadyUp,3100,0.0369545,1.099232,-1.041751,342.4963,14.25447,0.03042958,0,0,0,0,0,0,0,0
UA7716,VR Monitor Stereo,LineChartQ1,ReadingQuestion,3200,0.03737007,1.096227,-1.038803,344.8654,14.20386,359.9704,0,0,0,0,0,0,0,0
UA7716,VR Monitor Stereo,LineChartQ1,ReadingQuestion,3300,0.03818216,1.094247,-1.035909,346.4997,14.29079,359.9638,0,0,0,0,0,0,0,0
UA7716,VR Monitor Stereo,LineChartQ1,ReadingQuestion,3400,0.03846407,1.093721,-1.034073,346.9727,14.28372,0.07561539,0,0,0,0,0,0,0,0
UA7716,VR Monitor Stereo,LineChartQ1,ReadingQuestion,3500,0.03857735,1.093597,-1.033425,347.0197,14.24755,0.1393431,0,0,0,0,0,0,0,0
UA7716,VR Monitor Stereo,LineChartQ1,ReadingQuestion,3600,0.03840997,1.094022,-1.034409,346.7655,14.40843,0.1516311,0,0,0,0,0,0,0,0
UA7716,VR Monitor Stereo,LineChartQ1,ReadingQuestion,3700,0.03890342,1.094822,-1.035397,346.239,14.69218,0.07776057,0,0,0,0,0,0,0,0
UA7716,VR Monitor Stereo,LineChartQ1,ReadingQuestion,3800,0.03980035,1.095986,-1.036451,345.4668,15.4244,359.9446,0,0,0,0,0,0,0,0
UA7716,VR Monitor Stereo,LineChartQ1,ReadingQuestion,3900,0.04164071,1.097607,-1.038328,344.0139,17.28758,359.8415,0,0,0,0,0,0,0,0
UA7716,VR Monitor Stereo,LineChartQ1,ReadingQuestion,4000,0.04306735,1.098828,-1.041055,343.0109,18.4579,359.5885,0,0,0,0,0,0,0,0
UA7716,VR Monitor Stereo,LineChartQ1,ReadingQuestion,4100,0.04370872,1.100054,-1.043448,342.0757,19.09418,359.3072,0,0,0,0,0,0,0,0
UA7716,VR Monitor Stereo,LineChartQ1,ReadingQuestion,4200,0.04496928,1.101502,-1.045434,340.7345,20.58903,359.2751,0,0,0,0,0,0,0,0
UA7716,VR Monitor Stereo,LineChartQ1,ReadingQuestion,4300,0.04622547,1.102521,-1.047259,339.8847,21.79538,358.9236,0,0,0,0,0,0,0,0
UA7716,VR Monitor Stereo,LineChartQ1,ReadingQuestion,4400,0.04638363,1.102806,-1.048022,339.6721,22.27632,358.8061,0,0,0,0,0,0,0,0
