ParticipantId,Condition,TrialNumber,TrialName,TimeToReadQuestion,TimeToBeginInput,UserInput
UA7716,VR Monitor Stereo,1,LineChartQ1,15974.5375,95110.6742,neighborhood 1 and 2
UA7716,VR Monitor Stereo,2,LineChartQ2,9238.4439,48488.1463,6
UA7716,VR Monitor Stereo,3,LineChartQ3,6702.1828,15024.5594,2
UA7716,VR Monitor Stereo,4,LineChartQ4,5764.1556,15045.4332,2
UA7716,VR Monitor Stereo,5,LineChartQ5,9148.6854,17536.4056,3
UA7716,VR Monitor Stereo,6,SurfacePlotQ1,4513.0092,128027.676,the more religious homogeneity there is the more positive sentiment there is
UA7716,VR Monitor Stereo,7,SurfacePlotQ2,8590.1664,43361.2523,it lowers the positive sentiment towards the US
UA7716,VR Monitor Stereo,8,SurfacePlotQ3,7751.3958,69039.444,decreasing the religious homogeneity decreases the positive sentiment
UA7716,VR Monitor Stereo,9,BarChartQ1,4357.4125,18900.2396,2010 north
UA7716,VR Monitor Stereo,10,BarChartQ2,3653.3004,8891.8401,stable
UA7716,VR Monitor Stereo,11,BarChartQ3,4266.6707,15001.14,north
UA7716,VR Monitor Stereo,12,BarChartQ4,3296.2342,6858.8025,west
UA7716,VR Monitor Stereo,13,ScatterplotQ1,7785.3158,24797.0867,high income
UA7716,VR Monitor Stereo,14,ScatterplotQ2,5976.103,38614.3568,2010
UA7716,VR Monitor Stereo,15,ScatterplotQ3,9115.2327,58552.2808,stable over time
UA7716,VR Monitor Stereo,16,ScatterplotQ4,5306.4051,40591.5537,decreasing, but red is kind of decreasing at a slower rate
UA7716,VR Monitor Stereo,17,ScatterplotQ5,4524.4573,80277.5554,not sure
