ParticipantId,Condition,Question #,TrialName,Graph Face Viewed
UG4668,VR,1,ScatterplotQ1,Front
UG4668,VR,1,ScatterplotQ1,Front
UG4668,VR,1,ScatterplotQ1,Front
UG4668,VR,1,ScatterplotQ1,Front
UG4668,VR,1,ScatterplotQ1,Front
UG4668,VR,1,ScatterplotQ1,Front
UG4668,VR,1,ScatterplotQ1,Front
UG4668,VR,1,ScatterplotQ1,Front
UG4668,VR,1,ScatterplotQ1,Front
UG4668,VR,1,ScatterplotQ1,Front
UG4668,VR,1,ScatterplotQ1,Front
UG4668,VR,1,ScatterplotQ1,Front
UG4668,VR,1,ScatterplotQ1,Front
UG4668,VR,1,ScatterplotQ1,Front
UG4668,VR,1,ScatterplotQ1,Front
UG4668,VR,1,ScatterplotQ1,Front
UG4668,VR,1,ScatterplotQ1,Front
UG4668,VR,1,ScatterplotQ1,Front
UG4668,VR,1,ScatterplotQ1,Front
UG4668,VR,1,ScatterplotQ1,Front
UG4668,VR,1,ScatterplotQ1,Front
UG4668,VR,1,ScatterplotQ1,Front
UG4668,VR,1,ScatterplotQ1,Right
UG4668,VR,1,ScatterplotQ1,Right
UG4668,VR,1,ScatterplotQ1,Right
UG4668,VR,1,ScatterplotQ1,Right
UG4668,VR,1,ScatterplotQ1,Right
UG4668,VR,1,ScatterplotQ1,Right
UG4668,VR,1,ScatterplotQ1,Front
UG4668,VR,1,ScatterplotQ1,Front
UG4668,VR,1,ScatterplotQ1,Front
UG4668,VR,1,ScatterplotQ1,Front
UG4668,VR,1,ScatterplotQ1,Front
UG4668,VR,1,ScatterplotQ1,Front
UG4668,VR,1,ScatterplotQ1,Front
UG4668,VR,1,ScatterplotQ1,Front
UG4668,VR,1,ScatterplotQ1,Front
UG4668,VR,1,ScatterplotQ1,Front
UG4668,VR,1,ScatterplotQ1,Front
UG4668,VR,1,ScatterplotQ1,Front
UG4668,VR,1,ScatterplotQ1,Front
UG4668,VR,1,ScatterplotQ1,Front
UG4668,VR,1,ScatterplotQ1,Front
UG4668,VR,1,ScatterplotQ1,Front
UG4668,VR,1,ScatterplotQ1,Front
UG4668,VR,1,ScatterplotQ1,Front
UG4668,VR,1,ScatterplotQ1,Right
UG4668,VR,1,ScatterplotQ1,Right
UG4668,VR,1,ScatterplotQ1,Right
UG4668,VR,1,ScatterplotQ1,Right
UG4668,VR,1,ScatterplotQ1,Right
UG4668,VR,1,ScatterplotQ1,Right
UG4668,VR,1,ScatterplotQ1,Right
UG4668,VR,1,ScatterplotQ1,Right
UG4668,VR,1,ScatterplotQ1,Right
UG4668,VR,1,ScatterplotQ1,Right
UG4668,VR,1,ScatterplotQ1,Right
UG4668,VR,1,ScatterplotQ1,Right
UG4668,VR,1,ScatterplotQ1,Right
UG4668,VR,1,ScatterplotQ1,Right
UG4668,VR,1,ScatterplotQ1,Right
UG4668,VR,1,ScatterplotQ1,Right
UG4668,VR,1,ScatterplotQ1,Right
UG4668,VR,1,ScatterplotQ1,Right
UG4668,VR,1,ScatterplotQ1,Right
UG4668,VR,1,ScatterplotQ1,Right
UG4668,VR,1,ScatterplotQ1,Right
UG4668,VR,1,ScatterplotQ1,Right
UG4668,VR,1,ScatterplotQ1,Right
