ParticipantId,Condition,TrialName,State,Time (ms),X,Y,Z,Pitch,Yaw,Roll,RotateUp,RotateRight,RotateLeft,RotateDown,ZoomIn,ZoomOut,Reset,BackButton
UG4668,VR,ScatterplotQ1,WaitingToReadyUp,0,0.06991791,1.172485,-1.083255,356.8043,0.2093541,353.7078,0,0,0,0,0,0,0,0
UG4668,VR,ScatterplotQ1,WaitingToReadyUp,100,0.06897349,1.172534,-1.083239,356.8456,0.06130507,353.8456,0,0,0,0,0,0,0,0
UG4668,VR,ScatterplotQ1,WaitingToReadyUp,200,0.06834181,1.172848,-1.082955,356.7833,0.1219074,354.0712,0,0,0,0,0,0,0,0
UG4668,VR,ScatterplotQ1,WaitingToReadyUp,300,0.06903377,1.175282,-1.08339,355.4384,1.383643,354.8247,0,0,0,0,0,0,0,0
UG4668,VR,ScatterplotQ1,WaitingToReadyUp,400,0.07501393,1.185061,-1.085195,349.5733,8.441001,358.2655,0,0,0,0,0,0,0,0
UG4668,VR,ScatterplotQ1,WaitingToReadyUp,500,0.08236609,1.196157,-1.093638,341.4038,18.70505,0.9672022,0,0,0,0,0,0,0,0
UG4668,VR,ScatterplotQ1,WaitingToReadyUp,600,0.08545937,1.200057,-1.103979,337.4919,25.96367,0.8489084,0,0,0,0,0,0,0,0
UG4668,VR,ScatterplotQ1,WaitingToReadyUp,700,0.08458186,1.199219,-1.110024,336.9519,27.89479,0.1125258,0,0,0,0,0,0,0,0
UG4668,VR,ScatterplotQ1,WaitingToReadyUp,800,0.08301596,1.197632,-1.111146,337.6871,27.42822,0.0003147003,0,0,0,0,0,0,0,0
UG4668,VR,ScatterplotQ1,WaitingToReadyUp,900,0.08304179,1.194136,-1.110124,339.7326,27.42006,359.9622,0,0,0,0,0,0,0,0
UG4668,VR,ScatterplotQ1,WaitingToReadyUp,1000,0.0843284,1.184736,-1.106379,346.3764,26.36875,359.5204,0,0,0,0,0,0,0,0
UG4668,VR,ScatterplotQ1,WaitingToReadyUp,1100,0.08670646,1.178449,-1.102078,351.0643,25.10442,358.5259,0,0,0,0,0,0,0,0
UG4668,VR,ScatterplotQ1,WaitingToReadyUp,1200,0.09014895,1.178763,-1.09921,351.6415,25.13057,358.075,0,0,0,0,0,0,0,0
