ParticipantId,Condition,TrialName,State,Time (ms),X,Y,Z,Pitch,Yaw,Roll,RotateUp,RotateRight,RotateLeft,RotateDown,ZoomIn,ZoomOut,Reset,BackButton
UK0825,VR,LineChartQ1,WaitingToReadyUp,0,0.02481829,1.04032,-1.146973,3.153257,8.308925,359.8235,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,100,0.02470376,1.040207,-1.147203,3.212896,8.350338,359.8812,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,200,0.0244005,1.040569,-1.147385,3.052289,8.215839,359.9002,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,300,0.02410039,1.040975,-1.147584,2.858845,8.225684,0.1124348,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,400,0.02326672,1.04155,-1.148367,2.41983,8.16075,0.3604325,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,500,0.02255239,1.042559,-1.150005,1.662988,8.042874,0.5144094,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,600,0.02163567,1.044024,-1.151782,0.9185425,7.780282,0.5922033,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,700,0.0209034,1.045408,-1.153241,0.6163102,7.750618,0.9065513,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,800,0.01981107,1.045872,-1.154687,0.4828413,7.665502,1.058477,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,900,0.01903845,1.047083,-1.155976,359.6325,7.499204,1.093344,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,1000,0.01856112,1.04811,-1.157453,358.6696,7.142478,0.953833,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,1100,0.01858253,1.048751,-1.159113,357.8715,7.097029,0.8065703,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,1200,0.0196176,1.048364,-1.160415,357.5829,7.408667,0.5867302,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,1300,0.02166914,1.048132,-1.161144,357.29,8.125072,0.5712693,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,1400,0.02227873,1.049774,-1.16137,355.5027,7.194243,0.3772951,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,1500,0.01949668,1.053662,-1.162924,351.5498,3.116663,359.6083,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,1600,0.01710994,1.054724,-1.164963,349.3832,359.8992,359.4819,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,1700,0.01653795,1.053409,-1.165475,349.8593,359.2222,359.3753,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,1800,0.0175833,1.052487,-1.165236,350.6574,0.1387353,359.5414,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,1900,0.0179295,1.052648,-1.165045,350.2101,0.3440039,359.3473,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,2000,0.01818208,1.052742,-1.164323,349.9883,0.209285,359.3448,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,2100,0.01869718,1.052822,-1.163376,349.9884,0.3133738,359.5132,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,2200,0.01928201,1.053133,-1.163568,349.5305,0.7648789,359.9186,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,2300,0.0197268,1.053815,-1.164386,348.5892,1.22116,0.1823505,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,2400,0.02134678,1.055412,-1.165507,346.9431,3.058564,0.654539,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,2500,0.02362245,1.055711,-1.166592,346.675,5.467127,0.2319098,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,2600,0.02512242,1.055484,-1.167062,346.8384,6.790842,359.8881,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,2700,0.02556069,1.055473,-1.16682,346.9616,6.919487,359.7538,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,2800,0.02546684,1.055011,-1.166089,347.4418,6.577552,359.839,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,2900,0.02487958,1.053946,-1.164356,348.7068,6.089597,0.1204287,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,3000,0.0232918,1.05279,-1.16225,349.8565,4.516267,359.9615,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,3100,0.02090577,1.051483,-1.159977,351.6115,2.678224,359.9571,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,3200,0.01829945,1.05003,-1.157787,353.0796,0.7165517,359.815,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,3300,0.01597698,1.048666,-1.155998,354.5064,359.3584,359.6868,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,3400,0.0152896,1.047591,-1.154706,355.4718,358.7733,359.4494,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,3500,0.01547499,1.046869,-1.154325,356.6296,358.6786,358.9905,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,3600,0.0163008,1.046064,-1.154216,357.349,358.6989,358.7236,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,3700,0.01721805,1.046098,-1.154501,357.5658,358.8275,358.6225,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,3800,0.01773024,1.045662,-1.154418,357.9998,358.8704,358.6315,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,3900,0.0181088,1.045484,-1.154274,358.1698,358.7253,358.515,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,4000,0.0182098,1.045437,-1.154121,358.2777,358.7659,358.4706,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,4100,0.01830892,1.045116,-1.153928,358.4575,358.8815,358.3969,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,4200,0.01858713,1.044786,-1.153672,358.6438,358.9755,358.3887,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,4300,0.01831887,1.044707,-1.153669,358.7883,358.9411,358.4321,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,4400,0.01803877,1.04455,-1.153518,358.9699,358.8973,358.5256,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,4500,0.0179302,1.044548,-1.153507,359.0438,358.8457,358.5709,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,4600,0.01779012,1.044569,-1.153605,358.9553,358.7915,358.6246,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,4700,0.01778059,1.044846,-1.154015,358.7205,358.7468,358.6155,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,4800,0.01788455,1.045003,-1.15456,358.4949,358.7511,358.5933,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,4900,0.01768006,1.045503,-1.155135,358.0767,358.6977,358.6325,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,5000,0.01793264,1.046248,-1.155995,357.2641,358.6091,358.63,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,5100,0.01843116,1.047311,-1.157187,356.3988,358.7285,358.4687,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,5200,0.01904521,1.047917,-1.158918,355.7204,358.8932,358.3778,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,5300,0.01944074,1.04848,-1.160124,355.3053,359.1384,358.3647,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,5400,0.01996135,1.048538,-1.160656,355.3199,359.2727,358.3596,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,5500,0.01976751,1.048359,-1.160511,355.4035,359.1727,358.5384,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,5600,0.01905813,1.047997,-1.159984,355.5533,358.9183,358.7424,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,5700,0.01834443,1.048053,-1.159201,355.5554,358.6876,358.9459,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,5800,0.01775575,1.04771,-1.158931,355.6321,358.5225,359.099,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,5900,0.0174613,1.047601,-1.159279,355.5756,358.4365,359.1544,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,6000,0.01731903,1.047967,-1.160264,355.3523,358.4175,359.1961,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,6100,0.0169459,1.048523,-1.161028,355.1481,358.3228,359.2961,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,6200,0.01684665,1.048397,-1.161445,355.1709,358.2665,359.4755,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,6300,0.0167522,1.048542,-1.161648,355.1457,358.241,359.5414,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,6400,0.01653871,1.048617,-1.161919,355.0148,358.102,359.4395,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,6500,0.01698684,1.048789,-1.162227,354.9108,358.3966,359.4121,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,6600,0.01728387,1.049095,-1.16231,354.9809,358.7133,359.6018,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,6700,0.01790716,1.049563,-1.161939,355.3598,359.136,359.7976,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,6800,0.01861284,1.049243,-1.161349,355.6805,359.3087,359.4827,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,6900,0.01902682,1.0496,-1.160977,355.5605,359.4467,359.3246,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,7000,0.01879396,1.049356,-1.16094,355.4876,359.2846,359.3206,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,7100,0.01812416,1.047858,-1.16119,355.8609,358.815,359.4665,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,7200,0.01798422,1.047629,-1.160922,355.7237,358.654,359.6111,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,7300,0.01829925,1.048107,-1.161018,355.1443,359.0749,359.6514,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,7400,0.01925411,1.048301,-1.161191,354.8315,0.1791469,359.6363,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,7500,0.02127478,1.048675,-1.160889,354.5328,2.16518,359.912,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,7600,0.02503656,1.050208,-1.161132,352.824,5.367395,0.3719771,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,7700,0.03023645,1.05438,-1.163333,348.1052,11.05286,1.362419,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,7800,0.03456936,1.057287,-1.166376,343.9323,16.20707,1.208854,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,7900,0.03676068,1.057443,-1.168228,343.3903,18.85607,1.157544,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,8000,0.03715846,1.056202,-1.167462,344.7347,19.11819,1.561383,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,8100,0.03717262,1.056052,-1.165863,345.0703,18.79847,1.798417,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,8200,0.03616723,1.055904,-1.164243,345.2051,18.15954,2.120332,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,8300,0.03484549,1.055765,-1.163067,345.1525,17.76177,2.387143,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,8400,0.03379298,1.055697,-1.162847,345.1607,17.77601,2.5064,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,8500,0.03292284,1.05519,-1.162642,345.6565,17.72393,2.749402,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,8600,0.03196137,1.054326,-1.162036,346.5322,17.61027,3.283065,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,8700,0.03082598,1.054255,-1.16131,346.8897,17.22841,3.465897,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,8800,0.02992936,1.053896,-1.160221,347.1708,16.51758,3.510925,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,8900,0.02923479,1.053457,-1.158933,347.579,15.78787,3.49298,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,9000,0.02896243,1.053264,-1.157969,347.7849,15.45913,3.514781,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,9100,0.02926603,1.053082,-1.157411,348.0285,15.51579,3.569144,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,9200,0.02948245,1.052733,-1.156957,348.2696,15.64638,3.552047,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,9300,0.02961489,1.052552,-1.157108,348.4244,15.82094,3.416884,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,9400,0.02944278,1.052828,-1.15772,348.4555,15.88665,3.414178,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,9500,0.02923037,1.052763,-1.158125,348.369,15.7148,3.38921,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,9600,0.02902955,1.053134,-1.158523,348.035,15.65786,3.362359,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,9700,0.02861557,1.053492,-1.159071,347.8935,15.67343,3.326104,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,9800,0.0283708,1.053194,-1.159367,347.8969,15.61824,3.340554,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,9900,0.02824201,1.053493,-1.159326,347.8584,15.60812,3.337039,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,10000,0.02811838,1.053291,-1.159409,347.9115,15.59872,3.312078,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,10100,0.02852149,1.053341,-1.159059,348.1225,15.71984,3.386533,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,10200,0.02877767,1.053108,-1.15864,348.3808,15.76941,3.35352,0,0,0,0,0,0,0,0
UK0825,VR,LineChartQ1,WaitingToReadyUp,10300,0.02916763,1.053203,-1.158099,348.5497,15.92521,3.284147,0,0,0,0,0,0,0,0
