ParticipantId,Condition,TrialName,State,Time (ms),X,Y,Z,Pitch,Yaw,Roll,RotateUp,RotateRight,RotateLeft,RotateDown,ZoomIn,ZoomOut,Reset,BackButton
UO5311,VR,LineChartQ1,WaitingToReadyUp,0,0.1062683,1.149041,-1.123968,354.704,18.00064,2.77776,0,0,0,0,0,0,0,0
UO5311,VR,LineChartQ1,WaitingToReadyUp,100,0.1046534,1.149066,-1.123725,354.7081,16.8195,2.806875,0,0,0,0,0,0,0,0
UO5311,VR,LineChartQ1,WaitingToReadyUp,200,0.101687,1.149383,-1.123126,354.7694,14.44642,2.79216,0,0,0,0,0,0,0,0
UO5311,VR,LineChartQ1,WaitingToReadyUp,300,0.09782049,1.149144,-1.12281,355.1095,11.599,2.966198,0,0,0,0,0,0,0,0
UO5311,VR,LineChartQ1,WaitingToReadyUp,400,0.09078415,1.149287,-1.121742,355.3466,5.832353,2.766168,0,0,0,0,0,0,0,0
UO5311,VR,LineChartQ1,WaitingToReadyUp,500,0.08299465,1.149268,-1.121113,355.6481,359.6823,2.579991,0,0,0,0,0,0,0,0
UO5311,VR,LineChartQ1,WaitingToReadyUp,600,0.07672872,1.14845,-1.121335,356.2085,355.2522,2.236518,0,0,0,0,0,0,0,0
UO5311,VR,LineChartQ1,WaitingToReadyUp,700,0.07390727,1.147985,-1.12158,356.6041,353.416,2.311015,0,0,0,0,0,0,0,0
UO5311,VR,LineChartQ1,WaitingToReadyUp,800,0.07299276,1.147894,-1.121935,356.789,353.0078,2.260212,0,0,0,0,0,0,0,0
UO5311,VR,LineChartQ1,WaitingToReadyUp,900,0.07303477,1.14774,-1.121783,356.8176,352.5495,1.875333,0,0,0,0,0,0,0,0
UO5311,VR,LineChartQ1,WaitingToReadyUp,1000,0.07156831,1.147263,-1.12127,356.9887,350.0215,0.5266145,0,0,0,0,0,0,0,0
UO5311,VR,LineChartQ1,WaitingToReadyUp,1100,0.07055913,1.147691,-1.120991,356.4515,347.5852,359.3854,0,0,0,0,0,0,0,0
