ParticipantId,Condition,TrialNumber,TrialName,TimeToReadQuestion,TimeToBeginInput,UserInput
YA9918,VR,1,ScatterplotQ1,17346.3141,31238.9818,blue
YA9918,VR,2,ScatterplotQ2,19402.8188,23367.7996,red
YA9918,VR,3,ScatterplotQ3,17157.4519,51548.9207,negative
YA9918,VR,4,ScatterplotQ4,9963.809,27265.3105,increasing
YA9918,VR,5,ScatterplotQ5,10074.9111,50275.2497,i don't know
YA9918,VR,6,SurfacePlotQ1,10031.7492,42210.6508,100 percent
YA9918,VR,7,SurfacePlotQ2,7114.9596,45572.0792,increases
YA9918,VR,8,SurfacePlotQ3,7807.8975,30214.6592,yes
YA9918,VR,9,BarChartQ1,5574.3597,26148.6765,north 2010
YA9918,VR,10,BarChartQ2,8913.2107,20038.4248,remain stable
YA9918,VR,11,BarChartQ3,5451.3674,13538.3492,north
YA9918,VR,12,BarChartQ4,24316.8688,39462.5352,west
YA9918,VR,13,LineChartQ1,10421.8648,45472.3508,1
YA9918,VR,14,LineChartQ2,7048.5059,41126.8309,6
YA9918,VR,15,LineChartQ3,10299.8215,38401.9118,3
YA9918,VR,16,LineChartQ4,8645.172,12801.3,neighborhood 2
YA9918,VR,17,LineChartQ5,19759.4552,38234.3287,2
