ParticipantId,Condition,TrialName,State,Time (ms),X,Y,Z,Pitch,Yaw,Roll,RotateUp,RotateRight,RotateLeft,RotateDown,ZoomIn,ZoomOut,Reset,BackButton
YE7121,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,0,0.06934024,1.166895,-1.008732,339.218,28.52927,5.339333,0,0,0,0,0,0,0,0
YE7121,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,100,0.06873669,1.166967,-1.008948,338.9661,28.33633,5.369644,0,0,0,0,0,0,0,0
YE7121,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,200,0.06867661,1.167368,-1.009023,338.7198,28.05783,5.179601,0,0,0,0,0,0,0,0
YE7121,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,300,0.06903709,1.167334,-1.009097,338.6984,28.00971,4.757279,0,0,0,0,0,0,0,0
YE7121,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,400,0.07069977,1.167381,-1.009043,338.8011,28.44654,4.516837,0,0,0,0,0,0,0,0
YE7121,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,500,0.07160357,1.167432,-1.009508,338.8187,28.88331,4.25525,0,0,0,0,0,0,0,0
YE7121,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,600,0.07244874,1.167445,-1.009861,338.8704,28.97387,4.159838,0,0,0,0,0,0,0,0
YE7121,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,700,0.0730471,1.166352,-1.009761,339.8737,29.12951,4.447348,0,0,0,0,0,0,0,0
YE7121,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,800,0.07442243,1.165889,-1.009444,340.9171,29.62142,4.129873,0,0,0,0,0,0,0,0
YE7121,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,900,0.07681675,1.166298,-1.010586,340.8061,30.34866,3.186546,0,0,0,0,0,0,0,0
YE7121,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,1000,0.0784103,1.1666,-1.011934,340.6386,30.51142,2.869689,0,0,0,0,0,0,0,0
YE7121,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,1100,0.07956763,1.167558,-1.013011,340.0089,30.60091,2.201208,0,0,0,0,0,0,0,0
YE7121,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,1200,0.08062991,1.168918,-1.014544,338.7911,30.93851,0.8946586,0,0,0,0,0,0,0,0
YE7121,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,1300,0.08027014,1.169129,-1.016126,338.515,31.07519,0.6568394,0,0,0,0,0,0,0,0
YE7121,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,1400,0.07931932,1.169326,-1.017288,338.3568,31.03399,0.7062452,0,0,0,0,0,0,0,0
YE7121,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,1500,0.07890423,1.170017,-1.017697,337.9415,30.80098,0.705537,0,0,0,0,0,0,0,0
YE7121,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,1600,0.07922588,1.17013,-1.017552,337.7577,30.76182,0.6153631,0,0,0,0,0,0,0,0
YE7121,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,1700,0.0796579,1.170491,-1.017617,337.7505,30.81281,0.5521561,0,0,0,0,0,0,0,0
YE7121,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,1800,0.07980029,1.170439,-1.017608,337.7173,30.78514,0.5577994,0,0,0,0,0,0,0,0
YE7121,VR Monitor Stereo,SurfacePlotQ1,WaitingToReadyUp,1900,0.07995424,1.170235,-1.017636,337.8003,30.83855,0.4786955,0,0,0,0,0,0,0,0
