ParticipantId,Condition,Question #,TrialName,Graph Face Viewed
YI8949,VR,1,BarChartQ1,Front
YI8949,VR,1,BarChartQ1,Front
YI8949,VR,1,BarChartQ1,Front
YI8949,VR,1,BarChartQ1,Front
YI8949,VR,1,BarChartQ1,Front
YI8949,VR,1,BarChartQ1,Front
YI8949,VR,1,BarChartQ1,Right
YI8949,VR,1,BarChartQ1,Front
YI8949,VR,1,BarChartQ1,Front
YI8949,VR,1,BarChartQ1,Front
YI8949,VR,1,BarChartQ1,Front
YI8949,VR,1,BarChartQ1,Front
YI8949,VR,1,BarChartQ1,Front
YI8949,VR,1,BarChartQ1,Front
YI8949,VR,1,BarChartQ1,Front
YI8949,VR,1,BarChartQ1,Front
YI8949,VR,1,BarChartQ1,Front
YI8949,VR,1,BarChartQ1,Right
YI8949,VR,1,BarChartQ1,Right
YI8949,VR,1,BarChartQ1,Right
YI8949,VR,1,BarChartQ1,Front
YI8949,VR,1,BarChartQ1,Front
YI8949,VR,1,BarChartQ1,Front
YI8949,VR,2,BarChartQ2,Front
YI8949,VR,2,BarChartQ2,Right
YI8949,VR,2,BarChartQ2,Right
YI8949,VR,2,BarChartQ2,Right
YI8949,VR,2,BarChartQ2,Right
YI8949,VR,2,BarChartQ2,Front
YI8949,VR,2,BarChartQ2,Right
YI8949,VR,2,BarChartQ2,Right
YI8949,VR,2,BarChartQ2,Right
YI8949,VR,2,BarChartQ2,Right
YI8949,VR,2,BarChartQ2,Right
YI8949,VR,2,BarChartQ2,Top
YI8949,VR,2,BarChartQ2,Right
YI8949,VR,2,BarChartQ2,Right
YI8949,VR,2,BarChartQ2,Front
YI8949,VR,2,BarChartQ2,Front
YI8949,VR,3,BarChartQ3,Front
YI8949,VR,3,BarChartQ3,Front
YI8949,VR,3,BarChartQ3,Right
YI8949,VR,3,BarChartQ3,Right
YI8949,VR,3,BarChartQ3,Front
YI8949,VR,3,BarChartQ3,Right
YI8949,VR,3,BarChartQ3,Right
YI8949,VR,3,BarChartQ3,Right
YI8949,VR,3,BarChartQ3,Right
YI8949,VR,3,BarChartQ3,Right
YI8949,VR,3,BarChartQ3,Right
YI8949,VR,3,BarChartQ3,Back
YI8949,VR,3,BarChartQ3,Right
YI8949,VR,3,BarChartQ3,Front
YI8949,VR,3,BarChartQ3,Front
YI8949,VR,3,BarChartQ3,Front
YI8949,VR,3,BarChartQ3,Right
YI8949,VR,4,BarChartQ4,Front
YI8949,VR,4,BarChartQ4,Right
YI8949,VR,4,BarChartQ4,Front
YI8949,VR,4,BarChartQ4,Right
YI8949,VR,5,LineChartQ1,Front
YI8949,VR,5,LineChartQ1,Front
YI8949,VR,5,LineChartQ1,Front
YI8949,VR,5,LineChartQ1,Front
YI8949,VR,5,LineChartQ1,Front
YI8949,VR,5,LineChartQ1,Front
YI8949,VR,5,LineChartQ1,Front
YI8949,VR,5,LineChartQ1,Front
YI8949,VR,5,LineChartQ1,Front
