ParticipantId,Condition,TrialName,State,Time (ms),X,Y,Z,Pitch,Yaw,Roll,RotateUp,RotateRight,RotateLeft,RotateDown,ZoomIn,ZoomOut,Reset,BackButton
YI8949,VR,BarChartQ1,WaitingToReadyUp,0,0.124218,1.201635,-0.8476721,354.2782,23.52428,0.8304096,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,WaitingToReadyUp,100,0.1237291,1.201551,-0.8483659,354.309,23.47097,0.9224871,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,WaitingToReadyUp,200,0.1235406,1.201965,-0.8494768,353.9705,23.94,1.028439,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,WaitingToReadyUp,300,0.1234133,1.20242,-0.8518269,353.6724,25.25114,0.9459221,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,WaitingToReadyUp,400,0.1238495,1.202379,-0.8552748,353.3308,26.97639,0.8202367,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,WaitingToReadyUp,500,0.1243704,1.201555,-0.8597169,353.8541,28.76426,0.4665241,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,WaitingToReadyUp,600,0.1237546,1.200414,-0.8642389,354.0359,30.31,0.2707408,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,WaitingToReadyUp,700,0.1257464,1.198169,-0.8685435,355.3159,32.45012,358.958,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,WaitingToReadyUp,800,0.1288669,1.19724,-0.8723311,356.0294,34.9532,358.2075,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,WaitingToReadyUp,900,0.1284122,1.19588,-0.8738474,356.5713,35.47301,359.2758,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,WaitingToReadyUp,1000,0.1278153,1.194039,-0.8736213,356.9958,36.05572,359.5681,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,WaitingToReadyUp,1100,0.1288081,1.194056,-0.873116,356.14,36.93354,358.4567,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,WaitingToReadyUp,1200,0.1295111,1.196176,-0.8722224,353.9562,37.98037,357.7536,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,WaitingToReadyUp,1300,0.1293039,1.198141,-0.8711673,352.1035,38.90147,357.011,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,WaitingToReadyUp,1400,0.1280143,1.198019,-0.8671349,352.7256,37.65227,356.6384,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,WaitingToReadyUp,1500,0.1269773,1.198234,-0.8636371,351.6082,37.1934,357.3914,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,WaitingToReadyUp,1600,0.1273747,1.199293,-0.8610671,350.7547,37.01868,357.6395,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,WaitingToReadyUp,1700,0.1292188,1.198331,-0.8584796,352.0827,37.1417,357.8815,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,WaitingToReadyUp,1800,0.1313122,1.19719,-0.8548578,353.1547,37.33858,358.3159,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,WaitingToReadyUp,1900,0.1321563,1.195804,-0.8521628,353.8816,37.05607,358.7688,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,WaitingToReadyUp,2000,0.1325039,1.195659,-0.8510821,354.0463,37.1061,358.9243,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,WaitingToReadyUp,2100,0.1327685,1.195863,-0.8511225,354.1021,37.21099,358.9277,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,WaitingToReadyUp,2200,0.1335547,1.195859,-0.8512349,353.8851,37.52765,358.5724,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,WaitingToReadyUp,2300,0.133187,1.196042,-0.850935,353.8218,37.45931,358.7265,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,WaitingToReadyUp,2400,0.1324517,1.195823,-0.8500512,353.9378,37.22863,358.8491,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,WaitingToReadyUp,2500,0.1312047,1.19628,-0.8495318,353.5714,36.80259,358.955,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,WaitingToReadyUp,2600,0.1297339,1.196999,-0.8492491,353.0868,35.9243,358.9946,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,WaitingToReadyUp,2700,0.127906,1.197303,-0.8477477,352.8118,34.15565,359.7274,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,WaitingToReadyUp,2800,0.126527,1.198466,-0.8466162,351.9158,32.45129,0.008572553,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,ReadingQuestion,2900,0.12722,1.198423,-0.8461764,352.1269,32.45433,359.9272,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,ReadingQuestion,3000,0.1279938,1.198049,-0.845375,352.281,32.64095,359.8488,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,ReadingQuestion,3100,0.1278899,1.198007,-0.8444734,352.3757,32.67628,0.06595548,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,ReadingQuestion,3200,0.1276445,1.198163,-0.8442046,352.4258,32.80721,0.2061229,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,ReadingQuestion,3300,0.1281213,1.197879,-0.844161,352.5135,33.36467,0.2999386,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,ReadingQuestion,3400,0.128519,1.197185,-0.8450373,353.0311,34.46496,0.3172993,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,ReadingQuestion,3500,0.1288958,1.197115,-0.8463116,353.1209,35.23461,0.3104091,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,ReadingQuestion,3600,0.1290088,1.196939,-0.8482728,352.9077,36.00399,0.2406098,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,ReadingQuestion,3700,0.1292724,1.196829,-0.8506469,352.8669,36.90846,0.08365327,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,ReadingQuestion,3800,0.1296131,1.196739,-0.8526821,352.7958,37.56783,359.9163,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,ReadingQuestion,3900,0.1303151,1.196343,-0.8543254,352.8005,38.30611,359.7666,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,ReadingQuestion,4000,0.1310411,1.196505,-0.8555571,352.7373,38.82521,359.797,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,ReadingQuestion,4100,0.1316924,1.19631,-0.8563517,352.7037,38.93519,359.6373,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,ReadingQuestion,4200,0.1320129,1.196416,-0.8564544,352.717,39.024,359.6236,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,ReadingQuestion,4300,0.1320351,1.196764,-0.8561614,352.5782,39.08154,359.5788,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,ReadingQuestion,4400,0.1319848,1.196602,-0.8553311,352.4511,39.21823,359.6431,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,ReadingQuestion,4500,0.1319024,1.196503,-0.8542815,352.4895,39.47574,359.6624,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,ReadingQuestion,4600,0.1318036,1.196455,-0.8529059,352.5429,39.38283,359.7871,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,ReadingQuestion,4700,0.1313802,1.196401,-0.8513867,352.6242,38.96479,359.9232,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,ReadingQuestion,4800,0.1315802,1.196228,-0.8503765,352.6727,38.98076,-0.002758444,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,ReadingQuestion,4900,0.1318684,1.196118,-0.8494542,352.7549,39.00602,0.02181994,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,ReadingQuestion,5000,0.132111,1.196051,-0.8487523,352.7693,39.0116,0.0261914,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,ReadingQuestion,5100,0.1321199,1.19591,-0.8483875,352.8538,39.06981,0.1423575,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,ReadingQuestion,5200,0.1320032,1.195879,-0.8482901,352.9222,38.91081,0.1802976,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,ReadingQuestion,5300,0.1321054,1.195781,-0.8483264,352.9154,38.97744,0.1457727,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,ReadingQuestion,5400,0.1322789,1.19575,-0.8482393,353.1073,38.96427,0.2071701,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,ReadingQuestion,5500,0.132479,1.195501,-0.8483664,353.1429,39.0179,0.1502784,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,ReadingQuestion,5600,0.1327142,1.195342,-0.8484831,353.2816,39.11896,0.1871381,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,ReadingQuestion,5700,0.132782,1.195351,-0.8483535,353.5446,38.99252,0.1531259,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,ReadingQuestion,5800,0.1329029,1.195348,-0.8483942,353.5071,38.9582,0.1288428,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,ReadingQuestion,5900,0.1327582,1.195496,-0.8483121,353.4908,39.03028,0.1372152,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,ReadingQuestion,6000,0.1326362,1.195654,-0.8484206,353.3622,39.13155,0.2275458,0,0,0,0,0,0,0,0
YI8949,VR,BarChartQ1,ReadingQuestion,6100,0.1323246,1.195742,-0.8485309,353.4194,39.21764,0.193832,0,0,0,0,0,0,0,0
