ParticipantId,Condition,TrialName,State,Time (ms),X,Y,Z,Pitch,Yaw,Roll,RotateUp,RotateRight,RotateLeft,RotateDown,ZoomIn,ZoomOut,Reset,BackButton
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,0,0.01064153,1.132907,-1.113957,346.5499,33.21157,0.7894465,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,100,0.01041483,1.133061,-1.114249,346.4277,33.19873,0.808992,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,200,0.009917568,1.133531,-1.114445,346.1084,33.24161,0.80603,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,300,0.009696759,1.134095,-1.115006,345.8549,33.34397,0.8825153,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,400,0.009521486,1.135085,-1.115645,345.3916,33.43028,0.9348148,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,500,0.009329755,1.1358,-1.116461,344.9476,33.66329,1.014129,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,600,0.008854656,1.136246,-1.117241,344.6661,33.748,1.059406,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,700,0.008883785,1.136577,-1.11787,344.4637,33.81816,1.001525,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,800,0.008962616,1.136766,-1.118048,344.3983,33.74826,0.9907224,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,900,0.009068908,1.136981,-1.118472,344.3551,33.67412,0.9648405,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,1000,0.009010699,1.136861,-1.118984,344.3094,33.57149,0.8912805,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,1100,0.009253372,1.137027,-1.119448,344.2361,33.66154,0.9186171,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,1200,0.009120397,1.137466,-1.11987,343.9404,33.84396,0.8921735,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,1300,0.009195225,1.137832,-1.120712,343.5675,34.06482,0.9601152,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,1400,0.008662971,1.13836,-1.121755,343.2599,34.17792,1.081412,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,1500,0.007978428,1.139204,-1.122546,342.6561,34.49374,1.248521,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,1600,0.006513001,1.140086,-1.123922,342.0912,34.66556,1.388959,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,1700,0.005155722,1.140712,-1.124524,341.7121,34.47559,1.231669,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,1800,0.004109423,1.141448,-1.125561,341.2426,34.5254,1.181359,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,1900,0.003855263,1.1422,-1.126526,340.7515,34.88394,1.047189,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,2000,0.003297061,1.142774,-1.127101,340.4587,34.85605,0.9147655,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,2100,0.003274444,1.143474,-1.127943,340.0402,34.97493,0.8136482,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,2200,0.003530525,1.143549,-1.128526,339.9326,35.15746,0.6822511,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,2300,0.003620259,1.143575,-1.128813,339.9359,35.21072,0.5643447,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,2400,0.003907481,1.143193,-1.128343,340.3856,35.01065,0.5412073,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,2500,0.004425853,1.142251,-1.127528,341.1242,34.80105,0.5045098,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,2600,0.005386565,1.140689,-1.126453,342.2133,34.84044,0.5059379,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,2700,0.006284216,1.138418,-1.124357,343.7804,34.42206,0.6189708,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,2800,0.006531119,1.133858,-1.11946,346.8202,32.63535,1.231775,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,2900,0.007093746,1.128379,-1.113428,350.1754,31.17049,2.024582,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,3000,0.01122484,1.119557,-1.105919,354.8856,30.84836,2.566217,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,3100,0.01967586,1.106073,-1.097051,0.9936143,31.75151,3.006023,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,3200,0.03033971,1.09504,-1.090089,5.574534,33.73613,3.423998,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,3300,0.03662519,1.092544,-1.088037,6.614909,34.7494,3.728118,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,3400,0.04051041,1.092791,-1.089031,6.590166,35.20806,3.331128,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,3500,0.04308512,1.092023,-1.091159,6.740387,35.83608,3.064288,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,3600,0.04409289,1.091678,-1.092175,6.868227,36.34674,2.632267,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,3700,0.04210299,1.092679,-1.091793,6.581926,36.07682,2.454693,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,3800,0.03935042,1.093277,-1.091201,6.355318,35.57344,2.970997,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,3900,0.03721315,1.094106,-1.090817,5.985409,35.04881,3.269952,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,4000,0.03495469,1.095713,-1.090638,5.522204,34.16328,3.350703,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,4100,0.02671325,1.099563,-1.088637,4.639488,29.65958,3.526341,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,4200,0.006938096,1.105258,-1.085001,3.249436,17.67766,1.298331,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,4300,-0.01433915,1.109855,-1.084346,1.55564,6.442924,359.3426,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,4400,-0.02914091,1.112828,-1.085667,0.250879,0.1974871,358.7491,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,4500,-0.03545811,1.114218,-1.087007,359.7805,359.1631,359.663,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,4600,-0.03588451,1.11537,-1.088542,359.1587,0.9254432,1.089908,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,4700,-0.03524939,1.117305,-1.090395,358.3509,2.170829,1.739138,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,4800,-0.03026572,1.121753,-1.093068,355.873,6.711372,3.210867,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,4900,-0.01670684,1.130035,-1.100108,350.4604,17.54932,6.968485,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ReadingQuestion,5000,-0.009365209,1.134835,-1.108298,347.3762,22.9839,7.052402,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,5100,-0.005815445,1.138098,-1.114095,345.1913,25.55217,6.031841,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,5200,-0.004211282,1.139502,-1.116792,344.149,26.85812,5.348598,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,5300,-0.004484342,1.139607,-1.116513,344.2323,26.56631,5.360807,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,5400,-0.0116018,1.1372,-1.113322,346.5358,20.58439,5.844349,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,5500,-0.01986391,1.13405,-1.110551,349.0793,14.74971,5.365659,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,5600,-0.02529969,1.131871,-1.108176,350.6986,11.39725,5.940273,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,5700,-0.03022028,1.130607,-1.105768,351.6438,8.812274,5.769473,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,5800,-0.03338416,1.12946,-1.104689,352.4087,7.131161,5.694845,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,5900,-0.03552847,1.128168,-1.103626,353.1578,5.858157,5.309207,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,6000,-0.03624546,1.126879,-1.101972,353.7818,4.978733,4.806749,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,6100,-0.03641051,1.125014,-1.099373,354.8361,4.12226,4.225997,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,6200,-0.03569401,1.122738,-1.095943,355.8812,3.462601,3.659755,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,6300,-0.03457776,1.120358,-1.092409,356.8752,2.937741,3.077134,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,6400,-0.03341451,1.118002,-1.088892,358.0455,2.562399,2.619843,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,6500,-0.03269994,1.115163,-1.084685,359.3065,1.834548,2.249982,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,6600,-0.03297134,1.11156,-1.080394,0.8997424,0.483947,1.699973,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,6700,-0.03262383,1.107543,-1.076131,2.678957,359.5221,1.107597,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,6800,-0.03220908,1.103996,-1.072111,4.234725,358.981,0.8128087,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,6900,-0.03194079,1.101145,-1.069081,5.494981,358.6833,0.5258875,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,7000,-0.03204016,1.098744,-1.066991,6.447093,358.4227,0.3632345,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,7100,-0.03213399,1.096357,-1.064931,7.329122,358.3261,0.2561044,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,7200,-0.03220603,1.093648,-1.062684,8.217484,358.5022,0.3070321,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,7300,-0.03251533,1.09107,-1.060598,9.149903,358.5292,0.2564879,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,7400,-0.03282495,1.088475,-1.058829,10.15865,358.4458,0.2133956,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,7500,-0.03354008,1.087299,-1.057957,10.70893,358.1889,0.3203735,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,7600,-0.03523827,1.086415,-1.057479,10.97467,357.384,0.3654731,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,7700,-0.03797376,1.086341,-1.057388,10.896,356.0205,0.1260004,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,7800,-0.04072471,1.086619,-1.057503,10.89562,354.9635,0.02028719,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,7900,-0.04175914,1.086551,-1.057577,10.99445,354.8033,0.3797002,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,8000,-0.0425802,1.086893,-1.057734,10.79507,354.6096,0.4252575,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,8100,-0.04380207,1.087507,-1.058299,10.56299,354.3619,0.5568371,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,8200,-0.04413385,1.087604,-1.058846,10.47074,354.2394,0.6835491,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,8300,-0.04414881,1.087669,-1.058762,10.5017,354.4583,0.802906,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,8400,-0.04382531,1.087277,-1.058219,10.61212,354.73,0.9313021,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,8500,-0.04373989,1.086446,-1.057516,10.8744,354.8732,0.9931211,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,8600,-0.04354406,1.086137,-1.05629,10.8195,354.8947,0.9646862,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,8700,-0.04351868,1.085903,-1.05435,10.58175,354.7946,0.8492923,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,8800,-0.04341862,1.085497,-1.051584,10.31915,354.5399,0.7999944,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,8900,-0.04419205,1.085423,-1.047756,9.984391,354.3027,0.8275421,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,9000,-0.04451449,1.086564,-1.042057,8.82036,354.2088,0.9794423,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,9100,-0.04510876,1.086949,-1.035038,8.092467,353.7134,0.8017312,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,9200,-0.04567716,1.086939,-1.027552,7.347692,353.4039,0.7483943,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,9300,-0.04684287,1.087005,-1.02038,6.774571,353.1964,0.7773802,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,9400,-0.04810861,1.088253,-1.014398,5.611003,353.0934,0.843581,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,9500,-0.04932022,1.08884,-1.010486,4.863872,352.9468,0.8235321,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,9600,-0.05071454,1.088395,-1.007679,4.39627,353.0322,0.6783744,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,9700,-0.0514141,1.086265,-1.004715,4.447666,353.3157,0.4436341,0,0,0,0,0,0,0,0
YO8153,VR Monitor,BarChartQ1,ProducingAnswer,9800,-0.05166778,1.083646,-1.001988,4.334668,353.6996,0.1819025,0,0,0,0,0,0,0,0
