ParticipantId,Condition,TrialName,State,Time (ms),X,Y,Z,Pitch,Yaw,Roll,RotateUp,RotateRight,RotateLeft,RotateDown,ZoomIn,ZoomOut,Reset,BackButton
hr4364,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,0,0.03025346,1.119077,-1.072857,345.9517,14.87108,359.248,0,0,0,0,0,0,0,0
hr4364,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,100,0.03257655,1.119124,-1.073503,346.1338,15.88518,358.9624,0,0,0,0,0,0,0,0
hr4364,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,200,0.0346449,1.119068,-1.073665,346.1798,16.65154,358.69,0,0,0,0,0,0,0,0
hr4364,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,300,0.03599032,1.119471,-1.073864,345.9081,16.99636,358.6568,0,0,0,0,0,0,0,0
hr4364,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,400,0.03637419,1.119743,-1.07457,345.8459,17.0767,358.6634,0,0,0,0,0,0,0,0
hr4364,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,500,0.03579805,1.119839,-1.074903,345.729,16.87601,358.6958,0,0,0,0,0,0,0,0
hr4364,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,600,0.03455625,1.11975,-1.075378,345.7894,16.67955,358.767,0,0,0,0,0,0,0,0
hr4364,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,700,0.0334361,1.119473,-1.075341,345.8572,16.39348,358.8822,0,0,0,0,0,0,0,0
hr4364,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,800,0.03205981,1.119156,-1.075298,345.9478,16.16831,359.0216,0,0,0,0,0,0,0,0
hr4364,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,900,0.03157151,1.119195,-1.075731,345.9224,16.40006,359.0461,0,0,0,0,0,0,0,0
hr4364,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,1000,0.03245841,1.119325,-1.076223,345.9762,17.10151,358.8226,0,0,0,0,0,0,0,0
hr4364,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,1100,0.0332144,1.119069,-1.076199,346.1419,17.62653,358.768,0,0,0,0,0,0,0,0
hr4364,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,1200,0.03312972,1.118933,-1.075945,346.2201,17.6944,358.7784,0,0,0,0,0,0,0,0
hr4364,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,1300,0.03449795,1.118821,-1.076166,346.379,18.41504,358.5506,0,0,0,0,0,0,0,0
hr4364,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,1400,0.03767566,1.118452,-1.076759,346.8687,20.1762,358.099,0,0,0,0,0,0,0,0
hr4364,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,1500,0.03855256,1.118373,-1.07649,346.8166,20.27935,358.0897,0,0,0,0,0,0,0,0
hr4364,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,1600,0.03820238,1.118332,-1.076301,346.7517,19.81066,358.1659,0,0,0,0,0,0,0,0
hr4364,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,1700,0.03648807,1.118273,-1.07596,346.7772,19.04852,358.3133,0,0,0,0,0,0,0,0
hr4364,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,1800,0.03255235,1.118352,-1.074773,347.059,16.7425,358.7397,0,0,0,0,0,0,0,0
hr4364,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,1900,0.02622696,1.118508,-1.073523,347.714,13.16657,359.3412,0,0,0,0,0,0,0,0
hr4364,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,2000,0.01767826,1.11778,-1.073076,349.072,7.94405,359.8562,0,0,0,0,0,0,0,0
hr4364,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,2100,0.00878799,1.116744,-1.072997,350.5227,2.599968,359.9762,0,0,0,0,0,0,0,0
hr4364,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,2200,0.001292437,1.115099,-1.073217,351.9817,358.5721,0.4043213,0,0,0,0,0,0,0,0
hr4364,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,2300,-0.0041009,1.114067,-1.072021,353.1015,356.6461,1.086949,0,0,0,0,0,0,0,0
hr4364,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,2400,-0.00872403,1.112089,-1.070331,354.0881,355.35,2.001547,0,0,0,0,0,0,0,0
hr4364,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,2500,-0.01261813,1.109546,-1.067545,355.0343,354.3331,3.085363,0,0,0,0,0,0,0,0
hr4364,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,2600,-0.01449809,1.107794,-1.063891,356.2018,353.8741,3.397223,0,0,0,0,0,0,0,0
hr4364,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,2700,-0.01489284,1.1061,-1.061105,356.9878,353.7486,3.167574,0,0,0,0,0,0,0,0
hr4364,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,2800,-0.01375963,1.105114,-1.058431,357.5306,354.1098,3.104049,0,0,0,0,0,0,0,0
hr4364,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,2900,-0.01203581,1.103437,-1.055969,358.3273,354.347,2.838482,0,0,0,0,0,0,0,0
hr4364,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,3000,-0.01020568,1.101963,-1.054304,358.7998,354.3646,2.712389,0,0,0,0,0,0,0,0
hr4364,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,3100,-0.008046739,1.10112,-1.052723,359.0936,354.4522,2.358046,0,0,0,0,0,0,0,0
hr4364,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,3200,-0.005650524,1.099981,-1.051916,359.5269,355.2493,2.185297,0,0,0,0,0,0,0,0
hr4364,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,3300,-0.003254563,1.099815,-1.052103,359.344,356.2944,1.968015,0,0,0,0,0,0,0,0
hr4364,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,3400,-0.002601042,1.099949,-1.052381,359.3616,356.2487,1.881182,0,0,0,0,0,0,0,0
hr4364,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,3500,-0.002348319,1.099283,-1.053224,359.6628,356.154,1.866756,0,0,0,0,0,0,0,0
hr4364,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,3600,-0.001999389,1.099434,-1.054134,359.5875,356.4446,1.781202,0,0,0,0,0,0,0,0
hr4364,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,3700,-0.00205414,1.099474,-1.054648,359.7373,356.8247,1.775784,0,0,0,0,0,0,0,0
hr4364,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,3800,-0.001930833,1.099315,-1.054808,359.7096,357.1046,1.745373,0,0,0,0,0,0,0,0
hr4364,VR Monitor Stereo,ScatterplotQ1,WaitingToReadyUp,3900,-0.001906186,1.099547,-1.054838,359.6908,357.1817,1.784425,0,0,0,0,0,0,0,0
