"ParticipantId","Condition","Type1","Type2","Type3"
"AA0176","VR Monitor",42375.3621666667,57736.1830666667,26516.6289
"AA0876","VR",29777.8751666667,26738.4446666667,30366.14686
"AA1078","VR Monitor Stereo",62926.2285666667,25632.6709666667,20496.44054
"AA1358","VR Monitor",54334.3533,52635.52855,25761.7111
"AA3083","VR Monitor",35970.33835,28677.7203,20011.483
"AA4432","VR Monitor",27694.81805,32054.7896666667,42337.4146
"AA6335","VR Monitor",38626.3476166667,49487.47625,30187.1767
"AA7062","VR",37956.1077,37751.7610333333,20639.60504
"AA7736","VR Monitor Stereo",31001.2269833333,34830.1918333333,13178.05522
"AA9060","VR",32103.2999,54191.04002,32598.3184
"AA9143","VR Monitor",53722.09955,62197.06086,43126.0694
"AC8975","VR Monitor",38589.28685,54871.2216833333,21635.71082
"AC9337","VR Monitor Stereo",65016.7649,58545.7735833333,26503.56606
"AE1290","VR Monitor Stereo",15723.1150333333,33849.8341166667,19107.11866
"AE2314","VR Monitor Stereo",45374.75285,52806.0872,31098.7024
"AE2423","VR Monitor Stereo",37758.9836333333,30615.9445,47553.67724
"AE2567","VR Monitor",28322.05335,30909.9235166667,16698.48504
"AE4411","VR",31034.6609333333,29813.4827333333,28560.73164
"AE7022","VR",31570.8669166667,33468.0985166667,26190.64934
"AE7577","VR Monitor Stereo",27523.7182333333,38753.1979333333,23058.46896
"AE8118","VR",89055.975275,100737.14466,73187.00055
"AH8153","VR",37004.4733166667,54623.59165,31729.8491
"AI9736","VR Monitor Stereo",23663.39796,11826.7365,11158.39646
"AL7521","VR Monitor Stereo",46875.0508666667,42113.7332,20960.99646
"AM6705","VR",16063.4647,28551.2615166667,11651.78052
"AN7725","VR",30105.9029333333,17378.3906666667,18280.50916
"AO0649","VR",34085.9424,45492.0436,12851.40034
"AO1417","VR",28193.72422,58281.5386166667,14620.91966
"AO5595","VR",31285.3356,37513.22765,41095.45844
"AO7880","VR",38419.5926333333,66236.0143166667,21416.5516
"AO8017","VR Monitor",42753.2842833333,53711.11845,37013.65574
"AR0044","VR",36468.3370666667,37989.8367,15009.5348
"AR7862","VR Monitor",36833.7000833333,42204.68655,30321.0918
"AR9449","VR",31258.171,37913.7931333333,19111.40975
"AR9517","VR Monitor Stereo",53848.3282333333,32740.1389,42370.86224
"AU9914","VR",31665.3642166667,21349.1152666667,20294.67796
"CA0406","VR",25797.79035,32918.74635,16137.35896
"CC7455","VR Monitor",43428.7697333333,41176.7830333333,15968.03026
"DA6527","VR Monitor Stereo",32068.1323666667,27622.5232,22739.12722
"DR3453","VR Monitor Stereo",39104.81945,18130.3503833333,16933.33012
"EA4759","VR Monitor Stereo",26624.0099,29680.10945,16312.2646
"EA4934","VR Monitor Stereo",17368.7728666667,19662.2039333333,16175.93556
"EA8619","VR",23535.64995,24804.0185833333,10803.25074
"EA9314","VR",17509.7373666667,18528.48055,16401.58138
"EB2765","VR",65270.56258,75708.243775,32861.18368
"EE4432","VR",44961.2957,26181.8913,12711.00434
"EI3019","VR",46729.65185,93345.0613333333,62757.97144
"EM8130","VR Monitor",25987.5546333333,33282.5294833333,17195.25578
"EN3309","VR",15350.4085666667,14405.0019333333,13298.82638
"EN5709","VR",28033.58685,31956.2574,24003.55154
"EO9447","VR Monitor",23883.38725,28808.9627833333,13089.965
"ER1898","VR Monitor Stereo",40329.9576,53039.3831166667,34442.82808
"ER2155","VR",33756.2124,34957.4226333333,22437.73292
"ER7876","VR Monitor",32739.5253333333,32457.167,16593.52228
"HA0288","VR Monitor",60717.8486666667,90414.44646,56585.1425666667
"HA1682","VR Monitor Stereo",38457.23202,34050.8731333333,13819.360175
"HA3649","VR Monitor",57360.87178,34969.90302,9985.3399
"HC1197","VR Monitor",39674.7246166667,28005.8516166667,15409.6248
"HH7776","VR Monitor",41343.10616,34244.3970666667,29733.6851
"hr4364","VR Monitor Stereo",28888.3383,39872.2487833333,13665.2845
"HU2032","VR Monitor",43878.5016,31347.8830833333,18176.9387
"HY4562","VR Monitor Stereo",28499.5329333333,30078.1188,23085.43076
"IA2513","VR Monitor Stereo",46426.55245,49608.4722833333,26921.17056
"IB9297","VR",55800.0935833333,47060.16586,39299.40582
"IE3923","VR Monitor",41206.6805,37215.6094666667,21979.8333
"IE8843","VR Monitor Stereo",23556.5956833333,37362.38855,13133.33182
"II3615","VR Monitor Stereo",50764.22824,36802.0786666667,32271.80334
