"ParticipantId","Condition","Type1","Type2","Type3"
"AA0176","VR Monitor",10765.6259,13544.0484333333,9398.89866
"AA0876","VR",11609.68205,6123.53603333333,10137.75296
"AA1078","VR Monitor Stereo",9973.45325,8936.12436666667,8875.8639
"AA1358","VR Monitor",9446.27956666667,13389.3347166667,11082.68592
"AA3083","VR Monitor",6850.56451666667,7514.46386666667,6275.46792
"AA4432","VR Monitor",13026.6009333333,16561.706,18003.77076
"AA6335","VR Monitor",11490.2457166667,9185.41788333333,11201.12236
"AA7062","VR",4271.30196666667,2068.41878333333,3179.1416
"AA7736","VR Monitor Stereo",7867.54181666667,7123.64966666667,9251.33776
"AA9060","VR",6582.60101666667,7287.31986,6681.9003
"AA9143","VR Monitor",12899.0996833333,19004.73518,9533.76065
"AC8975","VR Monitor",8785.62016666667,12344.8154166667,6827.60358
"AC9337","VR Monitor Stereo",10289.3160666667,9815.13308333333,6478.80214
"AE1290","VR Monitor Stereo",7425.6974,10836.7163833333,8138.77676
"AE2314","VR Monitor Stereo",10211.3550166667,10200.58552,7307.37542
"AE2423","VR Monitor Stereo",17402.6607666667,10815.1452,8886.79286
"AE2567","VR Monitor",7648.36033333333,6819.70138333333,6244.23218
"AE4411","VR",4950.57461666667,5751.20971666667,7502.25902
"AE7022","VR",6827.01265,8925.01405,7839.44602
"AE7577","VR Monitor Stereo",10093.9335833333,15286.4306166667,13015.36874
"AE8118","VR",8096.026875,10111.31624,12359.719675
"AH8153","VR",7544.66968333333,15924.7315166667,16107.4015
"AI9736","VR Monitor Stereo",5682.15556,8597.44183333333,7685.20412
"AL7521","VR Monitor Stereo",9826.73758333333,13145.3537333333,21700.58894
"AM6705","VR",5468.15701666667,20792.9594166667,5757.45794
"AN7725","VR",9928.52715,6314.97001666667,4711.6756
"AO0649","VR",13204.9762666667,10944.7352833333,7553.9015
"AO1417","VR",7339.18798,10190.72295,7825.69364
"AO5595","VR",6674.04646,8429.54188333333,9144.16446
"AO7880","VR",6220.14361666667,6246.32513333333,6872.5293
"AO8017","VR Monitor",6061.54156666667,6983.25638333333,7368.40144
"AR0044","VR",8026.93196666667,12516.0565333333,9925.86664
"AR7862","VR Monitor",9872.79983333333,9045.71741666667,9791.80716
"AR9449","VR",5574.16856666667,9298.9988,6204.8606
