"ParticipantId","Condition","Type1","Type2","Type3"
"AA0176","VR Monitor",0.625,0.666666666666667,0.8
"AA0876","VR",0.25,0.416666666666667,0.8
"AA1078","VR Monitor Stereo",0.5,0.5,0.4
"AA1358","VR Monitor",0.333333333333333,0.583333333333333,0.6
"AA3083","VR Monitor",1,0.625,0.8
"AA4432","VR Monitor",0.833333333333333,0.833333333333333,0.85
"AA6335","VR Monitor",1,0.5,1
"AA7062","VR",0.708333333333333,0.25,0.3
"AA7736","VR Monitor Stereo",1,0.666666666666667,0.8
"AA9060","VR",0.416666666666667,0.4,0.65
"AA9143","VR Monitor",0.75,0.6,0.75
"AC8975","VR Monitor",0.916666666666667,0.5,0.8
"AC9337","VR Monitor Stereo",0.708333333333333,0.666666666666667,0.8
"AE1290","VR Monitor Stereo",0.833333333333333,0.583333333333333,0.65
"AE2314","VR Monitor Stereo",0.666666666666667,0.4,0.6
"AE2423","VR Monitor Stereo",0.666666666666667,0.2,0.65
"AE2567","VR Monitor",0.833333333333333,0.666666666666667,0.4
"AE4411","VR",0.5,0.583333333333333,0.8
"AE7022","VR",0.875,0.333333333333333,0.65
"AE7577","VR Monitor Stereo",0.791666666666667,0.333333333333333,0.85
"AE8118","VR",1,0.75,0.75
"AH8153","VR",0.583333333333333,0.5,0.75
"AI9736","VR Monitor Stereo",0.7,0.375,0.6
"AL7521","VR Monitor Stereo",1,0.416666666666667,0.8
"AM6705","VR",0.458333333333333,0.625,1
"AN7725","VR",0.458333333333333,0.5,0.4
"AO0649","VR",0.875,0.5,0.9
"AO1417","VR",0.9,0.333333333333333,0.75
"AO5595","VR",0.9,0.541666666666667,1
"AO7880","VR",0.916666666666667,0.666666666666667,0.7
"AO8017","VR Monitor",0.916666666666667,0.375,0.7
"AR0044","VR",0.75,1,0.9
"AR7862","VR Monitor",0.416666666666667,0.5,0.55
"AR9449","VR",0.333333333333333,0.333333333333333,0.75
"AR9517","VR Monitor Stereo",0.75,0.25,0.7
"AU9914","VR",0.375,0.25,0.1
"CA0406","VR",0.833333333333333,0.75,1
"CC7455","VR Monitor",0.666666666666667,0.625,0.6
"DA6527","VR Monitor Stereo",0.416666666666667,0.35,0.7
"DR3453","VR Monitor Stereo",0.833333333333333,0.5,0.7
"EA4759","VR Monitor Stereo",1,0.833333333333333,1
"EA4934","VR Monitor Stereo",0.583333333333333,0.333333333333333,0.7
"EA8619","VR",1,0.5,0.8
"EA9314","VR",1,0.833333333333333,0.95
"EB2765","VR",1,0.5,1
"EE4432","VR",0.583333333333333,0.833333333333333,0.7
"EI3019","VR",1,0.666666666666667,0.6
"EM8130","VR Monitor",0.666666666666667,0.916666666666667,0.7
"EN3309","VR",0.25,0.166666666666667,0.9
"EN5709","VR",1,0.75,0.65
"EO9447","VR Monitor",0.666666666666667,0.5,0.6
"ER1898","VR Monitor Stereo",0.75,0.333333333333333,0.7
"ER2155","VR",0.583333333333333,0.5,0.4
"ER7876","VR Monitor",0.75,0.5,0.8
"HA0288","VR Monitor",0.916666666666667,0.85,1
"HA1682","VR Monitor Stereo",0.7,0.416666666666667,0.5
"HA3649","VR Monitor",1,0.4,0.75
"HC1197","VR Monitor",0.5,0.333333333333333,0.4
"HH7776","VR Monitor",0.4,0.333333333333333,0.4
"hr4364","VR Monitor Stereo",0.75,0.5,0.45
"HU2032","VR Monitor",0.333333333333333,0.5,0.6
"HY4562","VR Monitor Stereo",0.583333333333333,0.583333333333333,0.7
"IA2513","VR Monitor Stereo",1,0.416666666666667,0.65
"IB9297","VR",0.5,0.4,0.75
"IE3923","VR Monitor",0.416666666666667,0.5,0.7
"IE8843","VR Monitor Stereo",0.75,1,1
"II3615","VR Monitor Stereo",0.45,0.5,0.6
"II6040","VR",0.916666666666667,0.4,0.7
"II7116","VR Monitor",0.75,0.333333333333333,0.6
"IK0518","VR Monitor",0.958333333333333,0.666666666666667,0.75
"IL8872","VR Monitor",0.708333333333333,0.833333333333333,0.375
"IO2253","VR Monitor",0.833333333333333,0.833333333333333,0.8
"IR0779","VR Monitor",0.15,0.4,0.25
"IR1101","VR Monitor",0.916666666666667,1,0.9
"LA0250","VR",1,0.4,0.6
"LA2620","VR",0.916666666666667,0.166666666666667,1
"LE1476","VR Monitor Stereo",0.833333333333333,0.708333333333333,0.85
"LE9083","VR Monitor",0.5,0.333333333333333,0.8
"LI5910","VR",0.875,0.666666666666667,1
"LL5887","VR",0.666666666666667,0.583333333333333,0.9
"LO3861","VR Monitor Stereo",1,0.416666666666667,0.6
"MA1301","VR",0.541666666666667,0.333333333333333,0.6
"MO2873","VR Monitor",0.958333333333333,0.833333333333333,1
"MU0632","VR Monitor",0.708333333333333,0.5,0.9
"MU9517","VR Monitor Stereo",0.916666666666667,0.583333333333333,0.8
"OA0505","VR Monitor Stereo",0.916666666666667,0.708333333333333,0.85
"OA0701","VR Monitor Stereo",0.916666666666667,0.833333333333333,0.9
"OA2385","VR Monitor Stereo",0.75,0.5,0.8
"OA5003","VR",0.583333333333333,0.375,0.7
"OA8593","VR",0.666666666666667,0.583333333333333,0.5
"OA9699","VR Monitor",0.833333333333333,0.333333333333333,0.75
